File.accession	File.format	File.type	File.format.type	Output.type	File.assembly	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Biosample.genetic.modifications.methods	Biosample.genetic.modifications.categories	Biosample.genetic.modifications.targets	Biosample.genetic.modifications.gene.targets	Biosample.genetic.modifications.site.coordinates	Biosample.genetic.modifications.zygosity	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate.s.	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Index.of	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Genome.annotation	Platform	Controlled.by	File.Status	s3_uri	File.analysis.title	File.analysis.status	Audit.WARNING	Audit.NOT_COMPLIANT	Audit.ERROR	Life.Stage
ENCFF653VLZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR222QLW	Histone ChIP-seq	CL:0000084	T-cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF530DQB/, /files/ENCFF566HDE/	1097520	ENCODE Processing Pipeline	9025f4693f5fd391845fd1e6315b3c73	NA	https://www.encodeproject.org/files/ENCFF653VLZ/@@download/ENCFF653VLZ.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/f32f78b5-89a2-46eb-a1c6-cf17e483ba34/ENCFF653VLZ.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length	NA	NA	Adult
ENCFF237WHW	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR191ZQT	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF198QJK/, /files/ENCFF356LFX/, /files/ENCFF404HKA/	980062	ENCODE Processing Pipeline	b0d0273c05ea5bfec26f6ebfb1870a32	NA	https://www.encodeproject.org/files/ENCFF237WHW/@@download/ENCFF237WHW.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/0fc5e82b-002b-475d-bac8-30a4d5d7a70f/ENCFF237WHW.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length	NA	NA	Adult
ENCFF969HEX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR000AUP	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2012-08-06	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF875DUO/, /files/ENCFF912USM/, /files/ENCFF356LFX/, /files/ENCFF130DBS/	1495974	ENCODE Processing Pipeline	a6ad4b706de27972414a9dc76951cc00	NA	https://www.encodeproject.org/files/ENCFF969HEX/@@download/ENCFF969HEX.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/30/dee3d155-8b96-4bb2-b47a-8045b62425f5/ENCFF969HEX.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length, moderate library complexity	NA	NA	Adult
ENCFF800YIB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR391EQV	Histone ChIP-seq	CL:0000623	natural killer cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA			1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF896LUO/, /files/ENCFF041WQQ/, /files/ENCFF356LFX/	1261253	ENCODE Processing Pipeline	51c7c57a7475729e69e8ab8e2183bd54	NA	https://www.encodeproject.org/files/ENCFF800YIB/@@download/ENCFF800YIB.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/48f476c4-f2a3-46a8-b74a-06122b7f846c/ENCFF800YIB.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mild to moderate bottlenecking, low read length	NA		Adult
ENCFF977EXB	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR561KOM	Histone ChIP-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF271LTA/, /files/ENCFF484WXU/	913221	ENCODE Processing Pipeline	60355bd71eb4cc731381dbfa5b498c3c	NA	https://www.encodeproject.org/files/ENCFF977EXB/@@download/ENCFF977EXB.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/08c3853d-fd42-4d3d-b952-459806eeb052/ENCFF977EXB.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length	NA	NA	Adult
ENCFF269VVP	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR007HLH	Histone ChIP-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF748QEI/, /files/ENCFF973OXO/, /files/ENCFF356LFX/	1136506	ENCODE Processing Pipeline	d0012693ac5b4cc1583aa51f7f54288d	NA	https://www.encodeproject.org/files/ENCFF269VVP/@@download/ENCFF269VVP.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/9a61ca64-d246-4694-9c7b-67f5070c8bfc/ENCFF269VVP.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length	NA	NA	Adult
ENCFF505MRR	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR012PII	Histone ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA		NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF356LFX/, /files/ENCFF406DEQ/, /files/ENCFF328STD/	1188387	ENCODE Processing Pipeline	c196f0ce794ff0e57157a8caf02e9bff	NA	https://www.encodeproject.org/files/ENCFF505MRR/@@download/ENCFF505MRR.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/0971ac86-9632-4862-bddd-102dcee5171b/ENCFF505MRR.bed.gz	ENCODE4 v1.5.1 GRCh38	released	control low read depth, low read depth, mild to moderate bottlenecking, low read length	NA	NA	Adult
ENCFF340SAM	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR165CDY	Histone ChIP-seq	NTR:0000493	left ventricle myocardium inferior	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2021-05-06	ENCODE	NA		200-600	1, 2	1_1, 1_2, 2_1, 2_2	NA	NA	NA	NA	NA	NA	/files/ENCFF347VYI/, /files/ENCFF801IUM/, /files/ENCFF850KKY/, /files/ENCFF356LFX/, /files/ENCFF077XXP/	2584751	ENCODE Processing Pipeline	d1526e444428482cfcc31ca9dde2508f	NA	https://www.encodeproject.org/files/ENCFF340SAM/@@download/ENCFF340SAM.bed.gz	NA	NA	NA	released	s3://encode-public/2021/04/10/5887492c-441b-4203-890d-9d5bd3637576/ENCFF340SAM.bed.gz	ENCODE4 v1.8.0 GRCh38	released		NA	NA	Adult
ENCFF275GAS	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR659RHV	Histone ChIP-seq	UBERON:0000059	large intestine	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2013-07-31	Roadmap	NA	NA	NA	1	1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF127HDF/, /files/ENCFF356LFX/, /files/ENCFF430FMT/	2009490	ENCODE Processing Pipeline	7598848c7eea7065ac55b458f481987d	NA	https://www.encodeproject.org/files/ENCFF275GAS/@@download/ENCFF275GAS.bed.gz	NA	NA	NA	released	s3://encode-public/2020/10/10/ee25ff63-5cd9-4d68-943c-87468318ee3c/ENCFF275GAS.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length	NA		Embryo
ENCFF032CSL	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR954IGQ	Histone ChIP-seq	UBERON:0000473	testis	tissue	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	H3K27ac-human	DNA	NA	NA	NA	NA	NA	2019-08-01	ENCODE	NA	sonication (generic)	200-600	1	1_1, 1_2	NA	NA	NA	NA	NA	NA	/files/ENCFF782ZUX/, /files/ENCFF843ASB/, /files/ENCFF356LFX/	1481502	ENCODE Processing Pipeline	05ab914e9c9a5e405bba563c94553683	NA	https://www.encodeproject.org/files/ENCFF032CSL/@@download/ENCFF032CSL.bed.gz	NA	NA	NA	released	s3://encode-public/2020/09/21/705b09c9-1e42-4336-a918-5ad9772eb42f/ENCFF032CSL.bed.gz	ENCODE4 v1.5.1 GRCh38	released		NA	NA	Adult
